Jersey_Number	DOB	City	State	Country	Birth_Country	Height	Weight	Shoots	Draft_Year	Draft_Round	Draft_Pick	Signed	Age	First_Name	Last_Name	Team	Prev_Team	Pos	Games_Curr_Team	Games_Other	Games_Other2	Games_Played	Goals	Assists	Penalty_Mins	Total_Points	Plus_Minus
18	12/10/1981	Lac La Biche	AB	CAN	CAN	74	217	L					34	Rene	Bourque	CBJ	CBJ	RW/LW	48	 	 	49	3	5	1	8	-9
19	9/27/1983	Edmonton	AB	CAN	CAN	76	212	L	2002	1	3		32	Jay	Bouwmeester	STL	STL	D	72	 	 	72	3	16	7	19	-4
55	1/19/1984	Edmonton	AB	CAN	CAN	74	227	R	2002	2	61		32	Johnny	Boychuk	NYI	NYI	D	69	 	 	70	9	16	8	25	17
28	4/17/1982	Mississauga	ON	CAN	CAN	72	199	R	2000	1	24		33	Brad	Boyes	TOR	TOR	RW	59	 	 	60	8	16	9	24	-6
11	12/18/1984	Hingham	MA	USA	USA	79	243	L	2003	1	26		31	Brian	Boyle	TBL	TBL	C/LW	75	 	 	76	13	7	4	20	-7
22	7/12/1976	Ottawa	ON	CAN	CAN	71	194	R					39	Dan	Boyle	NYR	NYR	D	73	 	 	74	10	14	7	24	0
42	3/19/1986	Regina	SK	CAN	CAN	73	196	R					29	Tyler	Bozak	TOR	TOR	C	57	 	 	57	12	23	12	35	-9
16	9/22/1987	Hull	QC	CAN	CAN	73	205	L	2006	1	6		28	Derick	Brassard	NYR	NYR	C	79	 	 	80	27	31	18	58	12
61	2/10/1987	Minneapolis	MN	USA	USA	74	205	R	2007	7	201		28	Justin	Braun	SJS	SJS	D	80	 	 	80	4	19	11	23	11
29	4/3/1989	Willingboro	NJ	USA	USA	73	216	L	2007	2	31		26	TJ	Brennan	TOR	TOR	D	7	 	 	7	1	0	0	1	-6
86	2/25/1992	Everett	MA	USA	USA	72	203	L	2010	2	50	Y	23	Connor	Brickley	FLA	FLA	C	23	 	 	23	1	4	4	5	1
7	6/7/1990	Chatham	ON	CAN	CAN	73	182	L	2008	4	114		25	TJ	Brodie	CGY	CGY	D	69	 	 	70	6	39	16	45	4
25	7/12/1993	Karlstad		SWE	SWE	73	195	L	2011	1	10		22	Jonas	Brodin	MIN	MIN	D	68	 	 	68	2	5	3	7	-5
28	5/25/1984	St. Paul	AB	CAN	CAN	74	212	R	2003	7	214		31	Kyle	Brodziak	STL	STL	C	76	 	 	76	7	4	2	11	-1
36	8/17/1985	Vancouver	BC	CAN	CAN	75	213	R	2004	7	214		30	Troy	Brouwer	STL	STL	RW	82	 	 	82	18	21	10	39	2
67	2/3/1991	Flower Mound	TX	USA	USA	74	215	R	2009	2	36	Y	25	Chris	Brown	WSH	WSH	C	1	 	 	1	0	0	0	0	0
16	1/14/1994	Toronto	ON	CAN	CAN	71	183	R	2012	6	156	Y	22	Connor	Brown	TOR	TOR	RW	7	 	 	7	1	5	3	6	-2
23	11/4/1984	Ithaca	NY	USA	USA	72	206	R	2003	1	13		31	Dustin	Brown	LAK	LAK	RW/LW	81	 	 	82	11	17	10	28	-5
23	7/2/1990	Burnsville	MN	USA	USA	70	175	R					25	J.T.	Brown	TBL	TBL	RW/LW	77	 	 	78	8	14	10	22	16
13	6/24/1985	Chicago	IL	USA	USA	71	205	R	2004	5	159		30	Mike	Brown	MTL	SJS; MTL	RW/LW	44	14	 	58	2	3	3	5	-5
36	5/29/1992	Bloomfield Hills	MI	USA	USA	73	210	R				Y	23	Patrick	Brown	CAR	CAR	C/RW	7	 	 	7	1	1	0	2	4
54	4/26/1992	Prince George	BC	CAN	CAN	76	212	R	2010	2	39	Y	23	Brett	Bulmer	MIN	MIN	RW/LW	3	 	 	3	0	0	0	0	-1
65	2/9/1995	Klagenfurt		AUT	SWE	75	198	L	2013	1	23		20	Andre	Burakovsky	WSH	WSH	LW/C	79	 	 	79	17	21	8	38	4
6	10/21/1991	Kazan		RUS	RUS	73	180	L	2010	1	8		24	Alexander	Burmistrov	WPG	WPG	C/RW	80	 	 	81	7	14	6	21	-11
88	3/9/1985	Barrie	ON	CAN	CAN	77	230	R	2003	1	20		30	Brent	Burns	SJS	SJS	D/RW	82	 	 	82	27	48	25	75	-5
14	4/11/1981	Pincourt	QC	CAN	CAN	73	188	L					34	Alexandre	Burrows	VAN	VAN	RW/LW	79	 	 	79	9	13	7	22	-13
25	10/27/1986	St. Louis	MO	USA	USA	73	196	L	2005	4	96		29	Chris	Butler	STL	STL	D	5	 	 	5	0	0	0	0	-1
33	3/27/1985	Roseau	MN	USA	USA	77	260	R	2003	8	245		30	Dustin	Byfuglien	WPG	WPG	D	80	 	 	81	19	34	20	53	4
41	4/27/1989	Ottawa	ON	CAN	CAN	68	158	L	2007	6	179		26	Paul	Byron	MTL	MTL	LW/C	62	 	 	62	11	7	6	18	-9
24	3/21/1985	Rochester	NY	USA	USA	70	186	R	2004	4	127		30	Ryan	Callahan	TBL	TBL	RW	72	 	 	73	10	18	11	28	-5
11	12/24/1989	Brandon	MB	CAN	CAN	71	192	L	2008	5	127		26	Matt	Calvert	CBJ	CBJ	LW	72	 	 	73	11	13	8	24	1
13	6/8/1982	Toronto	ON	CAN	CAN	69	185	L	2001	2	49		33	Michael	Cammalleri	NJD	NJD	LW/C	0	 	 	42	14	24	18	38	15
48	2/4/1988	Caledonia	ON	CAN	CAN	76	206	L	2008	3	74		28	Andrew	Campbell	TOR	TOR	D	6	 	 	6	0	1	0	1	0
51	5/23/1979	Strathroy	ON	CAN	CAN	70	192	L	1997	6	156		36	Brian	Campbell	FLA	FLA	D	82	 	 	82	6	25	12	31	31
9	12/17/1983	London	ON	CAN	CAN	72	197	L	2002	3	67		32	Gregory	Campbell	CBJ	CBJ	C/LW	81	 	 	82	3	8	3	11	-6
28	9/24/1988	Boston	MA	USA	USA	72	190	L	2007	5	135		27	Paul	Carey	WSH	WSH	C/LW	4	 	 	4	1	0	0	1	0
25	9/25/1984	Anchorage	AK	USA	USA	72	197	L	2003	2	47		31	Matthew	Carle	TBL	TBL	D	63	 	 	64	2	7	3	9	4
74	1/10/1990	Natick	MA	USA	USA	75	215	R	2008	1	27		26	John	Carlson	WSH	WSH	D	56	 	 	56	8	31	17	39	16
33	11/2/1990	Sayabec	QC	CAN	CAN	75	204	L	2009	1	25		25	Jordan	Caron	STL	STL	RW/LW	4	 	 	4	0	0	0	0	-3
40	1/18/1991	Oviedo	FL	USA	USA	73	180	R				Y	25	Ryan	Carpenter	SJS	SJS	C/RW	1	 	 	1	0	0	0	0	0
43	11/1/1991	Sherwood Park	AB	CAN	CAN	72	191	L				Y	24	Daniel	Carr	MTL	MTL	LW	23	 	 	23	6	3	0	9	0
8	4/13/1994	Orland Park	IL	USA	USA	71	193	R	2012	5	137		21	Connor	Carrick	TOR	WSH; TOR	D	3	16	 	19	2	2	1	4	-5
53	2/4/1992	Markham	ON	CAN	CAN	72	188	R	2010	5	144	Y	24	Sam	Carrick	TOR	TOR	C	3	 	 	3	0	0	0	0	-2
46	7/4/1994	Stouffville	ON	CAN	CAN	74	186	L	2012	4	115	Y	21	Trevor	Carrick	CAR	CAR	D	2	 	 	2	0	0	0	0	-1
77	1/1/1985	London	ON	CAN	CAN	76	215	R	2003	1	11		31	Jeff	Carter	LAK	LAK	C/RW	76	 	 	77	24	38	20	62	18
18	8/3/1983	White Bear Lake	MN	USA	USA	73	202	L					32	Ryan	Carter	MIN	MIN	LW/C	59	 	 	60	7	5	4	12	-3
43	3/9/1993	Richmond Hill	ON	CAN	CAN	69	191	L	2011	3	77	Y	22	Daniel	Catenacci	BUF	BUF	C/LW	11	 	 	11	0	0	0	0	-2
5	12/21/1993	Ottawa	ON	CAN	CAN	75	205	R	2012	1	15		22	Cody	Ceci	OTT	OTT	D	74	 	 	75	10	16	8	26	9
39	4/9/1992	Ile Bizard	QC	CAN	CAN	74	204	L	2010	3	89		23	Michael	Chaput	CBJ	CBJ	C/LW	8	 	 	8	1	1	0	2	3
33	3/18/1977	Trencin		SVK	SVK	81	250	L	1996	3	56		38	Zdeno	Chara	BOS	BOS	D	80	 	 	80	9	28	15	37	12
7	5/9/1991	Hamilton	ON	CAN	CAN	75	219	L	2009	4	120		24	Ben	Chiarot	WPG	WPG	D	69	 	 	70	1	9	2	10	-9
90	10/1/1990	Montreal	QC	CAN	CAN	75	208	R	2009	2	38		25	Alex	Chiasson	OTT	OTT	RW	76	 	 	77	8	6	5	14	2
25	5/2/1979	Edmonton	AB	CAN	CAN	75	216	L	1997	5	121		36	Jason	Chimera	WSH	WSH	LW	82	 	 	82	20	20	14	40	0
24	2/19/1986	Westlock	AB	CAN	CAN	74	203	L	2004	1	18		29	Kyle	Chipchura	ARI	ARI	C	69	 	 	70	4	8	6	12	-10
4	4/27/1987	Thunder Bay	ON	CAN	USA	73	190	L	2005	2	36		28	Taylor	Chorney	WSH	WSH	D	55	 	 	55	1	5	3	6	8
53	2/27/1991	Toronto	ON	CAN	CAN	71	201	L	2009	4	92		24	Casey	Cizikas	NYI	NYI	C	79	 	 	80	8	21	12	29	4
49	11/24/1992	Stockholm		SWE	SWE	73	205	L	2011	5	126	Y	23	Fredrik	Claesson	OTT	OTT	D	16	 	 	16	0	2	0	2	-6
23	3/31/1984	Toronto	ON	CAN	CAN	72	207	R					31	David	Clarkson	CBJ	CBJ	RW	23	 	 	23	2	2	1	4	-8
27	10/26/1992	Niagara Falls	NY	USA	USA	72	190	R	2011	2	36	Y	23	Adam	Clendening	EDM	PIT; EDM	D	9	20	 	29	1	6	1	7	6
13	1/13/1991	Ayr	ON	CAN	CAN	74	206	L	2009	2	35		25	Kyle	Clifford	LAK	LAK	LW	56	 	 	56	3	6	3	9	-1
25	4/25/1987	Toronto	ON	CAN	CAN	70	207	L	2005	3	71		28	Rich	Clune	TOR	TOR	LW	18	 	 	19	0	4	4	4	1
15	11/18/1987	Welland	ON	CAN	CAN	71	218	R	2006	3	72		28	Cal	Clutterbuck	NYI	NYI	RW	76	 	 	77	15	8	4	23	7
55	2/27/1985	Shaunavon	SK	CAN	CAN	77	226	L	2003	1	8		30	Braydon	Coburn	TBL	TBL	D	79	 	 	80	1	9	4	10	12
7	6/14/1987	Toronto	ON	CAN	CAN	70	184	L	2005	1	25		28	Andrew	Cogliano	ANA	ANA	LW/C	82	 	 	82	9	23	12	32	2
25	1/27/1983	Toronto	ON	CAN	CAN	73	202	L	2001	1	17		33	Carlo	Colaiacovo	BUF	BUF	D	36	 	 	36	1	4	2	5	-11
8	1/30/1990	Calgary	AB	CAN	CAN	77	221	L	2008	1	16		26	Joe	Colborne	CGY	CGY	C	72	 	 	73	19	25	15	44	-9
28	2/21/1989	Ann Arbor	MI	USA	USA	73	219	L	2007	1	18		26	Ian	Cole	PIT	PIT	D	70	 	 	70	0	12	4	12	-3
53	12/29/1988	Saskatoon	SK	CAN	CAN	73	198	L	2008	7	187		27	Sean	Collins	WSH	WSH	C/LW	2	 	 	2	0	0	0	0	-1
14	2/18/1986	Meadow Lake	SK	CAN	CAN	73	202	R	2004	2	47		29	Blake	Comeau	COL	COL	LW/RW	81	 	 	81	12	24	11	36	-9
22	8/6/1986	Trenton	MI	USA	USA	71	183	R	2006	7	211		29	Erik	Condra	TBL	TBL	RW/LW	53	 	 	54	6	5	3	11	-4
44	2/23/1990	Edmonton	AB	CAN	CAN	74	205	L	2009	3	83		25	Kevin	Connauton	ARI	CBJ; ARI	D	27	37	 	65	5	12	3	17	7
14	5/2/1992	Campbell River	BC	CAN	CAN	74	193	R	2010	1	6		23	Brett	Connolly	BOS	BOS	RW	71	 	 	71	9	16	10	25	-1
9	7/8/1994	Ann Arbor	MI	USA	USA	73	206	L	2013	4	104	Y	21	Andrew	Copp	WPG	WPG	C	76	 	 	77	7	6	4	13	8
28	6/14/1990	Moncton	NB	CAN	CAN	74	215	L	2008	2	54		25	Patrice	Cormier	WPG	WPG	C/LW	2	 	 	2	0	0	0	0	0
20	3/26/1993	Toronto	ON	CAN	CAN	72	195	R	2011	5	150		22	Frank	Corrado	TOR	TOR	D	38	 	 	39	1	5	2	6	-12
52	7/20/1993	Belleville	ON	CAN	CAN	70	188	L	2011	3	68	Y	22	Nick	Cousins	PHI	PHI	C	35	 	 	36	6	5	2	11	5
39	3/28/1989	Guelph	ON	CAN	CAN	73	200	L	2007	1	9		26	Logan	Couture	SJS	SJS	C	52	 	 	52	15	21	10	36	2
14	12/7/1992	Phoenix	AZ	USA	CAN	75	211	L	2011	1	8		23	Sean	Couturier	PHI	PHI	C	62	 	 	63	11	28	16	39	8
29	1/25/1991	Saskatoon	SK	CAN	CAN	77	238	L	2009	1	9		25	Jared	Cowen	OTT	OTT	D	37	 	 	37	0	4	2	4	7
3	3/2/1992	E. Weymouth	MA	USA	USA	75	218	R	2010	1	28		23	Charlie	Coyle	MIN	MIN	C/RW	81	 	 	82	21	21	11	42	1
22	7/15/1985	Prince Albert	SK	CAN	CAN	74	210	R	2004	9	279		30	Adam	Cracknell	EDM	VAN; EDM	RW/C	44	8	 	52	5	5	4	10	-1
87	8/7/1987	Cole Harbour	NS	CAN	CAN	71	200	L	2005	1	1		28	Sidney	Crosby	PIT	PIT	C	80	 	 	80	36	49	28	85	19
56	9/12/1989	Hartford	CT	USA	USA	75	205	L	2007	2	35		26	Tommy	Cross	BOS	BOS	D	3	 	 	3	0	1	1	1	-1
7	11/2/1976	Virginia	MN	USA	USA	73	200	L	1996	2	35		39	Matt	Cullen	PIT	PIT	C/LW	82	 	 	82	16	16	11	32	5
22	9/13/1990	Trail	BC	CAN	CAN	70	184	R	2010	4	97		25	Craig	Cunningham	ARI	ARI	LW/RW/C	10	 	 	10	0	1	0	1	-1
34	7/6/1991	Katrineholm		SWE	SWE	75	207	L	2011	3	79	Y	24	Klas	Dahlbeck	ARI	ARI	D	70	 	 	71	2	6	2	8	-5
6	10/9/1983	Toronto	ON	CAN	CAN	71	195	L	2002	2	43		32	Trevor	Daley	PIT	CHI; PIT	D	29	53	 	82	6	22	9	28	9
27	11/1/1989	Paris	ON	CAN	CAN	74	200	R	2008	2	45		26	Zac	Dalpe	MIN	MIN	C/RW	2	 	 	2	1	0	0	1	0
24	2/24/1993	Victoriaville	QC	CAN	CAN	72	201	L	2011	1	26	Y	22	Phillip	Danault	MTL	CHI; MTL	LW/C	30	21	 	51	4	6	2	10	-5
56	11/30/1994	Eisenstadt		AUT	SVK	71	183	L	2013	1	27		21	Marko	Dano	WPG	CHI; WPG	C	13	21	 	34	5	5	1	10	-7
13	7/20/1978	Sverdlovsk		RUS	RUS	71	194	L	1998	6	171		37	Pavel	Datsyuk	DET	DET	C/LW	65	 	 	66	16	33	16	49	7
76	3/27/1995	Repenigny	QC	CAN	CAN	72	180	L	2013	2	39	Y	20	Laurent	Dauphin	ARI	ARI	C	8	 	 	8	1	0	0	1	0
88	8/21/1991	Lethbridge	AB	CAN	CAN	74	210	L	2010	6	162	Y	24	Brandon	Davidson	EDM	EDM	D	50	 	 	51	4	7	2	11	7
44	5/9/1991	Carp	ON	CAN	CAN	73	197	L	2009	1	12		24	Calvin	de Haan	NYI	NYI	D	72	 	 	72	2	14	7	16	3
25	5/20/1995	Arvika		SWE	SWE	75	214	L	2013	2	34		20	Jacob	De La Rose	MTL	MTL	LW/C	22	 	 	22	0	1	1	1	-6
77	10/25/1995	La Mirada	CA	USA	USA	69	185	L	2014	4	99	Y	20	Chase	De Leo	WPG	WPG	C	2	 	 	2	0	0	0	0	1
65	3/7/1990	Detroit	MI	USA	USA	75	191	L					25	Danny	DeKeyser	DET	DET	D	77	 	 	78	8	12	7	20	2
15	6/24/1990	Stouffville	ON	CAN	CAN	72	195	L	2008	1	20		25	Michael	Del Zotto	PHI	PHI	D	52	 	 	52	4	9	4	13	-8
74	5/1/1993	London	ON	CAN	CAN	73	195	R	2011	6	179	Y	22	Dylan	DeMelo	SJS	SJS	D	45	 	 	45	2	2	1	4	0
4	6/9/1988	Dorval	QC	CAN	CAN	73	200	R	2008	7	186		27	Jason	Demers	DAL	DAL	D	61	 	 	62	7	16	10	23	16
51	9/14/1986	Laurier-Station	QC	CAN	CAN	67	174	L					29	David	Desharnais	MTL	MTL	C	65	 	 	65	11	18	10	29	-6
11	7/27/1986	Lively	ON	CAN	CAN	73	195	L					29	Andrew	Desjardins	CHI	CHI	LW/C	77	 	 	77	8	5	4	13	-8
44	2/22/1991	LaSalle	QC	CAN	CAN	73	212	L	2009	3	84		24	Nicolas	Deslauriers	BUF	BUF	LW/RW	70	 	 	70	6	6	2	12	-14
24	7/27/1991	Laval	QC	CAN	CAN	76	218	L	2009	1	30		24	Simon	Despres	ANA	ANA	D	32	 	 	32	0	4	1	4	2
34	10/9/1993	Toronto	ON	CAN	CAN	72	200	L	2012	2	38	Y	22	Phillip	Di Giuseppe	CAR	CAR	LW	40	 	 	41	7	10	7	17	0
